Mareografo,Fecha,Nivel
Oyarvide,2025-04-19 02:45:00-03:00,1.64
Oyarvide,2025-04-19 03:45:00-03:00,1.81
Oyarvide,2025-04-19 04:45:00-03:00,2.06
Oyarvide,2025-04-19 05:45:00-03:00,2.09
Oyarvide,2025-04-19 06:45:00-03:00,1.98
Oyarvide,2025-04-19 07:45:00-03:00,2
Oyarvide,2025-04-19 08:45:00-03:00,1.99
Oyarvide,2025-04-19 09:45:00-03:00,1.85
Oyarvide,2025-04-19 10:45:00-03:00,1.73
Oyarvide,2025-04-19 11:45:00-03:00,1.63
Oyarvide,2025-04-19 12:45:00-03:00,1.53
Oyarvide,2025-04-19 13:45:00-03:00,1.48
Oyarvide,2025-04-19 14:45:00-03:00,1.5
Oyarvide,2025-04-19 15:45:00-03:00,1.56
Oyarvide,2025-04-19 16:45:00-03:00,1.6
Oyarvide,2025-04-19 17:45:00-03:00,1.58
Oyarvide,2025-04-19 18:45:00-03:00,1.5
Oyarvide,2025-04-19 19:45:00-03:00,1.3
Oyarvide,2025-04-19 20:45:00-03:00,1.2
Oyarvide,2025-04-19 21:45:00-03:00,1.08
Oyarvide,2025-04-19 22:45:00-03:00,1
Oyarvide,2025-04-19 23:45:00-03:00,0.94
Oyarvide,2025-04-20 00:45:00-03:00,1.07
Oyarvide,2025-04-20 01:45:00-03:00,1.23
Oyarvide,2025-04-20 02:45:00-03:00,1.52
Oyarvide,2025-04-20 03:45:00-03:00,1.82
Oyarvide,2025-04-20 04:45:00-03:00,1.98
Oyarvide,2025-04-20 05:45:00-03:00,2
Oyarvide,2025-04-20 06:45:00-03:00,1.97
Oyarvide,2025-04-20 07:45:00-03:00,1.78
Oyarvide,2025-04-20 08:45:00-03:00,1.63
Oyarvide,2025-04-20 09:45:00-03:00,1.4
Oyarvide,2025-04-20 10:45:00-03:00,1.26
Oyarvide,2025-04-20 11:45:00-03:00,1.1
Oyarvide,2025-04-20 12:45:00-03:00,1.12
Oyarvide,2025-04-20 13:45:00-03:00,0.88
Oyarvide,2025-04-20 14:45:00-03:00,0.84
Oyarvide,2025-04-20 15:45:00-03:00,0.93
Oyarvide,2025-04-20 16:45:00-03:00,0.98
Oyarvide,2025-04-20 17:45:00-03:00,1.06
Oyarvide,2025-04-20 18:45:00-03:00,1.1
Oyarvide,2025-04-20 19:45:00-03:00,1.07
Oyarvide,2025-04-20 20:45:00-03:00,1
Oyarvide,2025-04-20 21:45:00-03:00,0.93
Oyarvide,2025-04-20 22:45:00-03:00,0.83
Oyarvide,2025-04-20 23:45:00-03:00,0.73
Oyarvide,2025-04-21 00:45:00-03:00,0.64
Oyarvide,2025-04-21 01:45:00-03:00,0.58
Oyarvide,2025-04-21 02:45:00-03:00,0.61
Oyarvide,2025-04-21 03:45:00-03:00,0.81
Oyarvide,2025-04-21 04:45:00-03:00,1.03
Oyarvide,2025-04-21 05:45:00-03:00,1.16
Oyarvide,2025-04-21 06:45:00-03:00,1.19
Oyarvide,2025-04-21 07:45:00-03:00,1.18
Oyarvide,2025-04-21 08:45:00-03:00,1.12
Oyarvide,2025-04-21 09:45:00-03:00,0.99
Oyarvide,2025-04-21 10:45:00-03:00,0.81
Oyarvide,2025-04-21 11:45:00-03:00,0.59
Oyarvide,2025-04-21 12:45:00-03:00,0.46
Oyarvide,2025-04-21 13:45:00-03:00,0.34
Oyarvide,2025-04-21 14:45:00-03:00,0.24
Oyarvide,2025-04-21 15:45:00-03:00,0.22
Oyarvide,2025-04-21 16:45:00-03:00,0.28
Oyarvide,2025-04-21 17:45:00-03:00,0.4
Oyarvide,2025-04-21 18:45:00-03:00,0.54
Oyarvide,2025-04-21 19:45:00-03:00,0.51
Oyarvide,2025-04-21 20:45:00-03:00,0.51
Oyarvide,2025-04-21 21:45:00-03:00,0.45
Oyarvide,2025-04-21 22:45:00-03:00,0.36
Oyarvide,2025-04-21 23:45:00-03:00,0.29
Oyarvide,2025-04-22 00:45:00-03:00,0.24
Oyarvide,2025-04-22 01:45:00-03:00,0.1
Oyarvide,2025-04-22 02:45:00-03:00,0.17
Oyarvide,2025-04-22 03:45:00-03:00,0.28
Oyarvide,2025-04-22 04:45:00-03:00,0.54
Oyarvide,2025-04-22 05:45:00-03:00,0.67
Oyarvide,2025-04-22 06:45:00-03:00,0.94
Oyarvide,2025-04-22 07:45:00-03:00,1.08
Oyarvide,2025-04-22 08:45:00-03:00,1.2
Oyarvide,2025-04-22 09:45:00-03:00,1.16
Oyarvide,2025-04-22 10:45:00-03:00,1.11
Oyarvide,2025-04-22 11:45:00-03:00,0.96
Oyarvide,2025-04-22 12:45:00-03:00,0.9
Oyarvide,2025-04-22 13:45:00-03:00,0.96
Oyarvide,2025-04-22 14:45:00-03:00,0.85
Oyarvide,2025-04-22 15:45:00-03:00,1
Oyarvide,2025-04-22 16:45:00-03:00,1.11
Oyarvide,2025-04-22 17:45:00-03:00,1.33
Oyarvide,2025-04-22 18:45:00-03:00,1.43
Oyarvide,2025-04-22 19:45:00-03:00,1.5
Oyarvide,2025-04-22 20:45:00-03:00,1.51
Oyarvide,2025-04-22 21:45:00-03:00,1.47
Oyarvide,2025-04-22 22:45:00-03:00,1.49
Oyarvide,2025-04-22 23:45:00-03:00,1.36
Oyarvide,2025-04-23 00:45:00-03:00,1.24
Oyarvide,2025-04-23 01:45:00-03:00,1.07
Oyarvide,2025-04-23 02:45:00-03:00,0.96
Oyarvide,2025-04-23 03:45:00-03:00,0.86
Oyarvide,2025-04-23 04:45:00-03:00,0.83
Oyarvide,2025-04-23 05:45:00-03:00,0.93
Oyarvide,2025-04-23 06:45:00-03:00,1.11
Oyarvide,2025-04-23 07:45:00-03:00,1.2
Oyarvide,2025-04-23 08:45:00-03:00,1.13
Oyarvide,2025-04-23 09:45:00-03:00,1.09
Oyarvide,2025-04-23 10:45:00-03:00,0.95
Oyarvide,2025-04-23 11:45:00-03:00,0.77
Oyarvide,2025-04-23 12:45:00-03:00,0.72
Oyarvide,2025-04-23 13:45:00-03:00,0.54
Oyarvide,2025-04-23 14:45:00-03:00,0.39
Oyarvide,2025-04-23 15:45:00-03:00,0.33
Oyarvide,2025-04-23 16:45:00-03:00,0.2
Oyarvide,2025-04-23 17:45:00-03:00,0.17
Oyarvide,2025-04-23 18:45:00-03:00,0.38
Oyarvide,2025-04-23 19:45:00-03:00,0.55
Oyarvide,2025-04-23 20:45:00-03:00,0.7
Oyarvide,2025-04-23 21:45:00-03:00,0.76
Oyarvide,2025-04-23 22:45:00-03:00,0.79
Oyarvide,2025-04-23 23:45:00-03:00,0.74
Oyarvide,2025-04-24 00:45:00-03:00,0.78
Oyarvide,2025-04-24 01:45:00-03:00,0.74
Oyarvide,2025-04-24 02:45:00-03:00,0.73
Oyarvide,2025-04-24 03:45:00-03:00,0.75
Oyarvide,2025-04-24 04:45:00-03:00,0.81
Oyarvide,2025-04-24 05:45:00-03:00,1.05
Oyarvide,2025-04-24 06:45:00-03:00,1.28
Oyarvide,2025-04-24 07:45:00-03:00,1.51
Oyarvide,2025-04-24 08:45:00-03:00,1.88
Oyarvide,2025-04-24 09:45:00-03:00,1.92
Oyarvide,2025-04-24 10:45:00-03:00,1.83
