Mareografo,Fecha,Nivel
Buenos  Aires,2025-04-17 09:45:00-03:00,0.99
Buenos  Aires,2025-04-17 10:45:00-03:00,0.89
Buenos  Aires,2025-04-17 11:45:00-03:00,0.8
Buenos  Aires,2025-04-17 12:45:00-03:00,0.7
Buenos  Aires,2025-04-17 13:45:00-03:00,0.58
Buenos  Aires,2025-04-17 14:45:00-03:00,0.47
Buenos  Aires,2025-04-17 15:45:00-03:00,0.38
Buenos  Aires,2025-04-17 16:45:00-03:00,0.31
Buenos  Aires,2025-04-17 17:45:00-03:00,0.19
Buenos  Aires,2025-04-17 18:45:00-03:00,0.12
Buenos  Aires,2025-04-17 19:45:00-03:00,0.3
Buenos  Aires,2025-04-17 20:45:00-03:00,0.54
Buenos  Aires,2025-04-17 21:45:00-03:00,0.82
Buenos  Aires,2025-04-17 22:45:00-03:00,0.98
Buenos  Aires,2025-04-17 23:45:00-03:00,1.02
Buenos  Aires,2025-04-18 00:00:00-03:00,0.82
Buenos  Aires,2025-04-18 00:45:00-03:00,0.94
Buenos  Aires,2025-04-18 01:45:00-03:00,0.82
Buenos  Aires,2025-04-18 02:45:00-03:00,0.68
Buenos  Aires,2025-04-18 03:45:00-03:00,0.59
Buenos  Aires,2025-04-18 04:45:00-03:00,0.45
Buenos  Aires,2025-04-18 05:45:00-03:00,0.34
Buenos  Aires,2025-04-18 06:45:00-03:00,0.28
Buenos  Aires,2025-04-18 07:45:00-03:00,0.43
Buenos  Aires,2025-04-18 08:45:00-03:00,0.64
Buenos  Aires,2025-04-18 09:45:00-03:00,0.73
Buenos  Aires,2025-04-18 10:45:00-03:00,0.82
Buenos  Aires,2025-04-18 11:45:00-03:00,0.86
Buenos  Aires,2025-04-18 12:45:00-03:00,0.76
Buenos  Aires,2025-04-18 13:45:00-03:00,0.62
Buenos  Aires,2025-04-18 14:45:00-03:00,0.49
Buenos  Aires,2025-04-18 15:45:00-03:00,0.38
Buenos  Aires,2025-04-18 16:45:00-03:00,0.27
Buenos  Aires,2025-04-18 17:45:00-03:00,0.23
Buenos  Aires,2025-04-18 18:45:00-03:00,0.25
Buenos  Aires,2025-04-18 19:45:00-03:00,0.48
Buenos  Aires,2025-04-18 20:45:00-03:00,0.76
Buenos  Aires,2025-04-18 21:45:00-03:00,0.9
Buenos  Aires,2025-04-18 22:45:00-03:00,0.95
Buenos  Aires,2025-04-18 23:45:00-03:00,1.06
Buenos  Aires,2025-04-19 00:00:00-03:00,1.11
Buenos  Aires,2025-04-19 00:45:00-03:00,1.07
Buenos  Aires,2025-04-19 01:45:00-03:00,1.11
Buenos  Aires,2025-04-19 02:45:00-03:00,1.04
Buenos  Aires,2025-04-19 03:45:00-03:00,1.02
Buenos  Aires,2025-04-19 04:45:00-03:00,0.99
Buenos  Aires,2025-04-19 05:45:00-03:00,1.19
Buenos  Aires,2025-04-19 06:45:00-03:00,1.41
Buenos  Aires,2025-04-19 07:45:00-03:00,1.59
Buenos  Aires,2025-04-19 08:45:00-03:00,1.74
Buenos  Aires,2025-04-19 09:45:00-03:00,1.82
Buenos  Aires,2025-04-19 10:45:00-03:00,1.92
Buenos  Aires,2025-04-19 11:45:00-03:00,1.97
Buenos  Aires,2025-04-19 12:45:00-03:00,1.86
Buenos  Aires,2025-04-19 13:45:00-03:00,1.7
Buenos  Aires,2025-04-19 14:45:00-03:00,1.54
Buenos  Aires,2025-04-19 15:45:00-03:00,1.42
Buenos  Aires,2025-04-19 16:45:00-03:00,1.28
Buenos  Aires,2025-04-19 17:45:00-03:00,1.2
Buenos  Aires,2025-04-19 18:45:00-03:00,1.16
Buenos  Aires,2025-04-19 19:45:00-03:00,1.14
Buenos  Aires,2025-04-19 20:45:00-03:00,1.14
Buenos  Aires,2025-04-19 21:45:00-03:00,1.16
Buenos  Aires,2025-04-19 22:45:00-03:00,1.14
Buenos  Aires,2025-04-19 23:45:00-03:00,1.04
