Lugar,Estado,Altura,Fecha,Fecha_Prono,Diferencia_horas
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.15,4/12/2025 9:00,4/12/2025 10:00,-1
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,0.85,4/12/2025 15:00,4/12/2025 10:00,5
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.2,4/12/2025 22:00,4/12/2025 10:00,12
PUERTO LA PLATA,BAJAMAR,0.3,4/12/2025 12:00,4/12/2025 13:00,-1
PUERTO LA PLATA,PLEAMAR,0.95,4/12/2025 19:00,4/12/2025 13:00,6
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,,,4/12/2025 13:00,
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.1,4/12/2025 14:00,4/12/2025 13:00,1
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,0.9,4/12/2025 21:00,4/12/2025 13:00,8
SAN FERNANDO,PLEAMAR,,,4/12/2025 13:00,
SAN FERNANDO,BAJAMAR,0.25,4/12/2025 15:00,4/12/2025 13:00,2
SAN FERNANDO,PLEAMAR,1.05,4/12/2025 22:00,4/12/2025 13:00,9
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.15,4/12/2025 9:00,4/12/2025 13:00,-4
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,0.85,4/12/2025 15:00,4/12/2025 13:00,2
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.2,4/12/2025 22:00,4/12/2025 13:00,9
PUERTO LA PLATA,PLEAMAR,0.8,4/12/2025 19:00,4/12/2025 18:00,1
PUERTO LA PLATA,BAJAMAR,0.35,4/13/2025 3:00,4/12/2025 18:00,9
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,0.75,4/12/2025 21:00,4/12/2025 18:00,3
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.2,4/13/2025 4:30,4/12/2025 18:00,10.5
SAN FERNANDO,PLEAMAR,0.85,4/12/2025 22:00,4/12/2025 18:00,4
SAN FERNANDO,BAJAMAR,0.3,4/13/2025 5:30,4/12/2025 18:00,11.5
CANAL PUNTA INDIO (Oyarvide - Km 133),BAJAMAR,0.3,4/12/2025 22:00,4/12/2025 18:00,4
CANAL PUNTA INDIO (Oyarvide - Km 133),PLEAMAR,0.9,4/13/2025 3:00,4/12/2025 18:00,9
PUERTO LA PLATA,PLEAMAR,0.8,4/12/2025 19:00,4/12/2025 19:00,0
PUERTO LA PLATA,BAJAMAR,0.35,4/13/2025 3:00,4/12/2025 19:00,8
PUERTO DE BUENOS AIRES (Dársena F),PLEAMAR,0.75,4/12/2025 21:00,4/12/2025 19:00,2
PUERTO DE BUENOS AIRES (Dársena F),BAJAMAR,0.2,4/13/2025 4:30,4/12/2025 19:00,9.5
SAN FERNANDO,PLEAMAR,0.85,4/12/2025 22:00,4/12/2025 19:00,3
SAN FERNANDO,BAJAMAR,0.3,4/13/2025 5:30,4/12/2025 19:00,10.5
